Beam: 1,	 N: -61209349.0[N]
Beam: 2,	 N: -60421532.0[N]
Beam: 3,	 N: 7834686.0[N]
Beam: 4,	 N: 65734240.0[N]
Beam: 5,	 N: 64931639.0[N]
Beam: 6,	 N: -1192963.0[N]
Beam: 7,	 N: 3501380.0[N]
Beam: 8,	 N: 3498620.0[N]
Beam: 9,	 N: 94269.0[N]
Beam: 10,	 N: 94269.0[N]
Beam: 11,	 N: -1.0[N]
Beam: 12,	 N: 1040975.0[N]
Beam: 13,	 N: -1055632.0[N]
Beam: 14,	 N: -664003.0[N]
Beam: 15,	 N: 6769744.0[N]
Beam: 16,	 N: -6412897.0[N]
Beam: 17,	 N: -32183181.0[N]
Beam: 18,	 N: 35144221.0[N]
Beam: 19,	 N: 43259222.0[N]
Beam: 20,	 N: -40523764.0[N]
Beam: 21,	 N: -31806410.0[N]
Beam: 22,	 N: 32222812.0[N]
