Beam: 1,	 sigma_x: 25.6[MPa]
Beam: 2,	 sigma_x: 57.34[MPa]
Beam: 3,	 sigma_x: 68.7[MPa]
Beam: 4,	 sigma_x: 25.72[MPa]
Beam: 5,	 sigma_x: 58.0[MPa]
Beam: 6,	 sigma_x: 65.68[MPa]
Beam: 7,	 sigma_x: 81.35[MPa]
Beam: 8,	 sigma_x: 79.7[MPa]
Beam: 9,	 sigma_x: 151.1[MPa]
Beam: 10,	 sigma_x: 151.1[MPa]
Beam: 11,	 sigma_x: 10.79[MPa]
Beam: 12,	 sigma_x: 51.3[MPa]
Beam: 13,	 sigma_x: 52.17[MPa]
Beam: 14,	 sigma_x: 155.69[MPa]
Beam: 15,	 sigma_x: 130.08[MPa]
Beam: 16,	 sigma_x: 147.03[MPa]
Beam: 17,	 sigma_x: 14.39[MPa]
Beam: 18,	 sigma_x: 15.25[MPa]
Beam: 19,	 sigma_x: 41.3[MPa]
Beam: 20,	 sigma_x: 43.08[MPa]
Beam: 21,	 sigma_x: 116.25[MPa]
Beam: 22,	 sigma_x: 116.77[MPa]
